名前,郵便番号,住所,誕生日,年齢,学年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
園児ふ,000-0000,函館市,2012年8月5日,7歳,1年生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2016,2012
園児C,000-0001,七飯町,2015年8月25日,8歳,2年生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,2015
園児D,000-0002,北斗市,2014年8月26日,9歳,3年生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2016,2014
園児E,000-0003,森町,2015年8月27日,10歳,4年生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,2015
園児F,000-0004,札幌市,2013年3月18日,11歳,5年生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2016,2012
園児G,000-0005,青森市,2014年5月29日,12歳,6年生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2016,2014
園児H,000-0006,函館市,2016年1月3日,7歳,1年生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,2015
園児I,000-0007,七飯町,2014年8月30日,7歳,1年生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2016,2014
園児J,000-0008,北斗市,2014年12月1日,8歳,2年生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2016,2014
園児K,000-0009,森町,2013年6月14日,3歳,3年生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2016,2013
園児L,000-0010,札幌市,2015年4月2日,1歳,4年生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,2015
園児M,000-0011,青森市,2011年11月3日,4歳,5年生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2016,2011
園児N,000-0012,函館市,2013年10月4日,3歳,6年生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2016,2013
園児O,000-0013,七飯町,2016年5月20日,0歳,1年生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2016,2016
園児P,000-0014,北斗市,2012年8月23日,4歳,1年生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2016,2012
園児R,000-0015,森町,2015年10月27日,1歳,2年生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,2015
園児A,000-0016,札幌市,2015年3月5日,1歳,3年生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2016,2014
園児A,000-0017,青森市,2012年4月6日,4歳,4年生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2016,2012
